region,infusion2,area,nfos,ntrap,ncoloc,density_fos,density_trap,density_coloc,pc_fos_coloc,pc_trap_coloc
arcuate,casein,22697.238095238095,3.888888888888889,7.746031746031746,0.9682539682539683,16.946978979417775,33.73879975114541,4.142021142877806,25.760327635327638,14.336763277646163
arcuate,malt,24984.831325301206,4.674698795180723,6.72289156626506,0.9156626506024096,18.4756888773956,26.451727452445247,3.5222963691197235,17.044312746568387,12.64232305240937
arcuate,water,22074.9125,4.2875,7.0625,0.8875,19.621258968287428,32.31572113345278,3.949463498043019,19.60266384179428,13.208483076904129
caudateput,casein,1230081.3803680982,85.70552147239263,36.920245398773005,4.214723926380368,7.150041888823707,3.089771399115312,0.36684260745261016,6.701182591959014,12.072020877666239
caudateput,malt,1260811.9950738917,60.61576354679803,25.423645320197043,2.251231527093596,4.769991427291195,2.026470242782003,0.1799694092009799,6.920475005870523,8.862956083923706
caudateput,water,1228875.1006289308,69.45283018867924,27.132075471698112,2.9056603773584904,5.8180554814066765,2.2320734765393313,0.2474227266966121,8.49174638927285,10.44235134957094
lathypo,casein,192816.0888888889,50.72222222222222,35.86666666666667,9.88888888888889,26.948094341384767,18.40820642863334,5.044077365114776,20.79760373505379,29.529919814279967
lathypo,malt,213558.89830508476,44.567796610169495,29.39830508474576,8.042372881355933,21.553415298206986,13.817982850004922,3.7967879792635015,15.759046484622122,23.502028064615715
lathypo,water,197948.17525773196,51.68041237113402,34.34020618556701,10.041237113402062,26.34874811487086,16.828161257222938,4.981916083399279,19.01614746217179,30.515780478927248
naccore,casein,236387.73076923078,18.692307692307693,11.14102564102564,1.0512820512820513,7.872242362941311,4.6887094218388,0.4308886819978403,6.495619377586847,9.405660795056907
naccore,malt,248491.77083333334,18.833333333333332,7.197916666666667,0.7291666666666666,7.353242727996321,2.918614943511665,0.28828418236586034,5.570805433966897,10.428392498704998
naccore,water,249227.075,24.5375,10.625,1.2125,10.023683202523658,4.351247971788607,0.5159412367323923,6.566096041328137,10.475790389095444
nacshell,casein,137359.76623376625,23.051948051948052,11.272727272727273,1.5194805194805194,16.172722826647135,9.386092609395215,1.150690944874314,7.5889413445740095,12.659116983068746
nacshell,malt,141793.85714285713,19.979591836734695,7.724489795918367,0.9693877551020408,14.317876617473567,5.548587668015528,0.7214778366646426,6.470282325394509,13.047143712698594
nacshell,water,119462.925,18.25,8.4375,1.375,15.229975856273759,7.06054536175604,1.143784412137392,8.71051711416692,15.43844490562757
piriform,casein,194417.62626262626,62.474747474747474,36.03030303030303,6.232323232323233,31.599989647538937,18.6978968239313,3.191458011301114,10.265107776665868,17.674914231628414
piriform,malt,191101.33653846153,37.75961538461539,16.721153846153847,2.480769230769231,19.04156108050596,8.637393739247237,1.2468092921623535,9.133785834853699,12.71777178490011
piriform,water,192406.22935779818,49.211009174311926,21.458715596330276,3.1009174311926606,25.34890364315004,11.145353809015528,1.6119477899020682,8.175532657063705,13.873593810706529
pvhypo,casein,24290.873684210525,11.8,19.6,3.5789473684210527,48.345656990447665,80.67365758945898,15.373621370011493,30.509719280570376,21.580683536080375
pvhypo,malt,26351.235294117647,8.747899159663865,20.54621848739496,2.7478991596638656,32.72109187070974,74.91107703045843,10.416010765388359,28.611679660539302,15.948644709209097
pvhypo,water,24562.942857142858,11.942857142857143,19.01904761904762,3.257142857142857,48.02548399247841,77.02556264372886,13.246338010372321,27.907459799488343,20.884875474594633
pvthal,casein,43817.06211180124,49.267080745341616,37.857142857142854,11.509316770186336,112.1458407808962,86.44735691362226,25.768831727419613,23.233856108201728,30.774747433775453
pvthal,malt,45805.11261261261,36.64414414414414,29.3018018018018,8.031531531531531,78.03142161040994,65.20695249678658,17.40130964303384,22.20580270691974,25.695659236274313
pvthal,water,44642.21693121693,48.75661375661376,36.507936507936506,10.767195767195767,111.50109855136273,82.45730559104904,24.120000278417596,21.757283706575755,28.42063747548571
